Event       N.clusters       Cluster #       Edepionization     E/cluster      x-pos       y-pos       z-pos
1            35               29               0.001051          0.000030        -0.161       -0.467       6.203
1            35               30               0.001051          0.000030        -0.159       -0.463       6.209
1            35               31               0.001051          0.000030        -0.159       -0.463       6.209
1            35               32               0.001051          0.000030        -0.161       -0.467       6.203
1            35               33               0.001051          0.000030        -0.157       -0.460       6.216
1            35               34               0.001051          0.000030        -0.157       -0.458       6.218
2            25               0               0.000662          0.000026        0.000       -0.000       6.348
2            25               1               0.000662          0.000026        0.000       -0.000       5.265
2            25               2               0.000662          0.000026        0.000       -0.000       6.279
2            25               3               0.000662          0.000026        0.000       -0.000       4.576
2            25               4               0.000662          0.000026        0.000       -0.000       5.277
2            25               5               0.000662          0.000026        0.000       -0.000       6.144
2            25               6               0.000662          0.000026        0.000       -0.000       3.881
2            25               7               0.000662          0.000026        0.000       -0.000       6.349
2            25               8               0.000662          0.000026        0.000       -0.000       3.441
2            25               9               0.000662          0.000026        0.000       -0.000       4.510
2            25               10               0.000662          0.000026        0.000       -0.000       5.245
2            25               11               0.000662          0.000026        0.000       -0.000       5.046
2            25               12               0.000662          0.000026        0.000       -0.000       5.227
2            25               13               0.000662          0.000026        0.000       -0.000       4.787
2            25               14               0.000662          0.000026        0.000       -0.000       3.435
2            25               15               0.000662          0.000026        0.000       -0.000       5.330
2            25               16               0.000662          0.000026        0.000       -0.000       4.613
2            25               17               0.000662          0.000026        0.000       -0.000       3.645
2            25               18               0.000662          0.000026        0.000       -0.000       5.084
2            25               19               0.000662          0.000026        0.000       -0.000       4.719
2            25               20               0.000662          0.000026        0.000       -0.000       5.078
2            25               21               0.000662          0.000026        0.000       -0.000       3.472
2            25               22               0.000662          0.000026        0.000       -0.000       5.017
2            25               23               0.000662          0.000026        0.000       -0.000       4.401
2            25               24               0.000662          0.000026        0.000       -0.000       4.294
3            25               0               0.000749          0.000030        -0.000       0.000       4.970
3            25               1               0.000749          0.000030        0.000       0.000       3.582
3            25               2               0.000749          0.000030        -0.000       0.000       4.991
3            25               3               0.000749          0.000030        -0.000       0.000       5.509
3            25               4               0.000749          0.000030        -0.000       0.000       4.993
3            25               5               0.000749          0.000030        0.000       0.000       3.685
3            25               6               0.000749          0.000030        0.000       0.000       3.581
3            25               7               0.000749          0.000030        -0.000       0.000       6.136
3            25               8               0.000749          0.000030        0.000       0.000       3.693
3            25               9               0.000749          0.000030        -0.000       0.000       4.983
3            25               10               0.000749          0.000030        0.000       0.000       3.738
3            25               11               0.000749          0.000030        0.000       0.000       3.901
3            25               12               0.000749          0.000030        -0.000       0.000       4.916
3            25               13               0.000749          0.000030        -0.000       0.000       5.989
3            25               14               0.000749          0.000030        -0.000       0.000       5.099
3            25               15               0.000749          0.000030        -0.000       0.000       5.257
3            25               16               0.000749          0.000030        -0.000       0.000       4.948
3            25               17               0.000749          0.000030        0.000       0.000       3.515
3            25               18               0.000749          0.000030        -0.000       0.000       6.085
3            25               19               0.000749          0.000030        0.000       0.000       3.743
3            25               20               0.000749          0.000030        0.000       0.000       3.538
3            25               21               0.000749          0.000030        -0.000       0.000       4.770
3            25               22               0.000749          0.000030        -0.000       0.000       4.635
3            25               23               0.000749          0.000030        -0.000       0.000       5.442
3            25               24               0.000749          0.000030        0.000       0.000       3.705
4            23               0               0.000656          0.000029        0.000       -0.000       6.166
4            23               1               0.000656          0.000029        0.000       -0.000       4.997
4            23               2               0.000656          0.000029        0.000       -0.000       4.369
4            23               3               0.000656          0.000029        0.000       -0.000       6.240
4            23               4               0.000656          0.000029        0.000       -0.000       5.104
4            23               5               0.000656          0.000029        0.000       -0.000       3.941
4            23               6               0.000656          0.000029        0.000       -0.000       4.720
4            23               7               0.000656          0.000029        0.000       -0.000       4.283
4            23               8               0.000656          0.000029        0.000       -0.000       5.997
4            23               9               0.000656          0.000029        0.000       -0.000       5.634
4            23               10               0.000656          0.000029        0.000       -0.000       6.202
4            23               11               0.000656          0.000029        0.000       -0.000       4.381
4            23               12               0.000656          0.000029        0.000       -0.000       5.738
4            23               13               0.000656          0.000029        0.000       -0.000       3.614
4            23               14               0.000656          0.000029        0.000       -0.000       6.256
4            23               15               0.000656          0.000029        0.000       -0.000       5.691
4            23               16               0.000656          0.000029        0.000       -0.000       6.203
4            23               17               0.000656          0.000029        0.000       -0.000       4.926
4            23               18               0.000656          0.000029        0.000       -0.000       3.561
4            23               19               0.000656          0.000029        0.000       -0.000       6.280
4            23               20               0.000656          0.000029        0.000       -0.000       6.361
4            23               21               0.000656          0.000029        0.000       -0.000       5.681
4            23               22               0.000656          0.000029        0.000       -0.000       6.126
5            36               0               0.000930          0.000026        0.000       0.000       4.552
5            36               1               0.000930          0.000026        0.000       0.000       5.894
5            36               2               0.000930          0.000026        0.000       0.000       5.820
5            36               3               0.000930          0.000026        0.000       0.000       5.712
5            36               4               0.000930          0.000026        0.000       0.000       5.882
5            36               5               0.000930          0.000026        0.000       0.000       5.691
5            36               6               0.000930          0.000026        0.000       0.000       4.656
5            36               7               0.000930          0.000026        0.000       0.000       5.424
5            36               8               0.000930          0.000026        0.000       0.000       4.719
5            36               9               0.000930          0.000026        0.000       0.000       5.409
5            36               10               0.000930          0.000026        0.000       0.000       4.492
5            36               11               0.000930          0.000026        0.000       0.000       3.507
5            36               12               0.000930          0.000026        0.000       0.000       5.149
5            36               13               0.000930          0.000026        0.000       0.000       3.769
5            36               14               0.000930          0.000026        0.000       0.000       4.010
5            36               15               0.000930          0.000026        0.000       0.000       5.926
5            36               16               0.000930          0.000026        0.000       0.000       4.637
5            36               17               0.000930          0.000026        0.000       0.000       5.412
5            36               18               0.000930          0.000026        0.000       0.000       5.837
5            36               19               0.000930          0.000026        0.000       0.000       5.438
5            36               20               0.000930          0.000026        0.000       0.000       4.377
5            36               21               0.000930          0.000026        0.000       0.000       4.863
5            36               22               0.000930          0.000026        0.000       0.000       6.146
5            36               23               0.000930          0.000026        0.000       0.000       5.957
5            36               24               0.000930          0.000026        0.000       0.000       6.204
5            36               25               0.000930          0.000026        0.000       0.000       6.244
5            36               26               0.000930          0.000026        0.000       0.000       3.731
5            36               27               0.000930          0.000026        0.000       0.000       5.488
5            36               28               0.000930          0.000026        0.000       0.000       5.641
5            36               29               0.000930          0.000026        0.000       0.000       6.068
5            36               30               0.000930          0.000026        0.000       0.000       4.948
5            36               31               0.000930          0.000026        0.000       0.000       5.473
5            36               32               0.000930          0.000026        0.000       0.000       4.379
5            36               33               0.000930          0.000026        0.000       0.000       3.430
5            36               34               0.000930          0.000026        0.000       0.000       3.673
5            36               35               0.000930          0.000026        -10000.000       -10000.000       -10000.000
6            29               0               0.000926          0.000032        -0.000       -0.000       4.461
6            29               1               0.000926          0.000032        -0.000       -0.000       5.182
6            29               2               0.000926          0.000032        0.000       -0.000       4.098
6            29               3               0.000926          0.000032        0.000       -0.000       3.635
6            29               4               0.000926          0.000032        0.000       -0.000       3.946
6            29               5               0.000926          0.000032        0.000       -0.000       3.483
6            29               6               0.000926          0.000032        0.000       -0.000       3.996
6            29               7               0.000926          0.000032        -0.000       -0.000       4.389
6            29               8               0.000926          0.000032        -0.000       -0.000       4.599
6            29               9               0.000926          0.000032        -0.000       -0.000       5.518
6            29               10               0.000926          0.000032        -0.000       -0.000       6.368
6            29               11               0.000926          0.000032        -0.000       -0.000       5.827
6            29               12               0.000926          0.000032        -0.000       -0.000       6.344
6            29               13               0.000926          0.000032        -0.000       -0.000       4.615
6            29               14               0.000926          0.000032        -0.000       -0.000       4.496
6            29               15               0.000926          0.000032        -0.000       -0.000       5.726
6            29               16               0.000926          0.000032        -0.000       -0.000       5.063
6            29               17               0.000926          0.000032        -0.000       -0.000       4.832
6            29               18               0.000926          0.000032        -0.000       -0.000       6.333
6            29               19               0.000926          0.000032        -0.000       -0.000       5.381
6            29               20               0.000926          0.000032        -0.000       -0.000       5.811
6            29               21               0.000926          0.000032        -0.000       -0.000       4.477
6            29               22               0.000926          0.000032        -0.000       -0.000       4.371
6            29               23               0.000926          0.000032        -0.000       -0.000       4.536
6            29               24               0.000926          0.000032        -0.000       -0.000       5.760
6            29               25               0.000926          0.000032        -0.000       -0.000       5.453
6            29               26               0.000926          0.000032        -0.000       -0.000       4.471
6            29               27               0.000926          0.000032        -0.000       -0.000       6.124
6            29               28               0.000926          0.000032        0.000       -0.000       4.028
7            17               0               0.000465          0.000027        -0.000       0.000       4.849
7            17               1               0.000465          0.000027        -0.000       0.000       6.354
7            17               2               0.000465          0.000027        -0.000       0.000       5.687
7            17               3               0.000465          0.000027        -0.000       0.000       4.652
7            17               4               0.000465          0.000027        -0.000       0.000       4.748
7            17               5               0.000465          0.000027        -0.000       0.000       5.037
7            17               6               0.000465          0.000027        0.000       0.000       3.736
7            17               7               0.000465          0.000027        -0.000       0.000       3.982
7            17               8               0.000465          0.000027        -0.000       0.000       4.784
7            17               9               0.000465          0.000027        0.000       0.000       3.905
7            17               10               0.000465          0.000027        -0.000       0.000       4.321
7            17               11               0.000465          0.000027        -0.000       0.000       5.228
7            17               12               0.000465          0.000027        0.000       0.000       3.798
7            17               13               0.000465          0.000027        -0.000       0.000       6.023
7            17               14               0.000465          0.000027        -0.000       0.000       4.970
7            17               15               0.000465          0.000027        -0.000       0.000       5.132
7            17               16               0.000465          0.000027        -0.000       0.000       5.873
8            35               0               0.000955          0.000027        0.000       -0.000       5.288
8            35               1               0.000955          0.000027        0.000       -0.000       3.374
8            35               2               0.000955          0.000027        0.000       -0.000       3.877
8            35               3               0.000955          0.000027        0.000       -0.000       4.751
8            35               4               0.000955          0.000027        0.000       0.000       6.307
8            35               5               0.000955          0.000027        0.000       -0.000       3.691
8            35               6               0.000955          0.000027        0.000       -0.000       4.061
8            35               7               0.000955          0.000027        0.000       -0.000       4.991
8            35               8               0.000955          0.000027        0.000       -0.000       4.327
8            35               9               0.000955          0.000027        0.000       -0.000       4.908
8            35               10               0.000955          0.000027        0.000       0.000       6.220
8            35               11               0.000955          0.000027        0.000       0.000       5.595
8            35               12               0.000955          0.000027        0.000       -0.000       3.861
8            35               13               0.000955          0.000027        0.000       -0.000       4.884
8            35               14               0.000955          0.000027        0.000       -0.000       5.019
8            35               15               0.000955          0.000027        0.000       -0.000       3.530
8            35               16               0.000955          0.000027        0.000       -0.000       3.870
8            35               17               0.000955          0.000027        0.000       0.000       5.823
8            35               18               0.000955          0.000027        0.000       0.000       5.995
8            35               19               0.000955          0.000027        0.000       -0.000       5.181
8            35               20               0.000955          0.000027        0.000       -0.000       4.710
8            35               21               0.000955          0.000027        0.000       0.000       5.919
8            35               22               0.000955          0.000027        0.000       0.000       6.355
8            35               23               0.000955          0.000027        0.000       0.000       6.122
8            35               24               0.000955          0.000027        0.000       -0.000       5.225
8            35               25               0.000955          0.000027        0.000       -0.000       3.864
8            35               26               0.000955          0.000027        0.000       0.000       5.666
8            35               27               0.000955          0.000027        0.000       -0.000       4.740
8            35               28               0.000955          0.000027        0.000       0.000       5.664
8            35               29               0.000955          0.000027        0.000       0.000       6.143
8            35               30               0.000955          0.000027        0.000       0.000       6.137
8            35               31               0.000955          0.000027        0.000       -0.000       3.417
8            35               32               0.000955          0.000027        0.000       -0.000       4.678
8            35               33               0.000955          0.000027        0.000       -0.000       4.986
8            35               34               0.000955          0.000027        -10000.000       -10000.000       -10000.000
9            26               0               0.000770          0.000030        -0.000       -0.000       5.884
9            26               1               0.000770          0.000030        -0.000       -0.000       5.915
9            26               2               0.000770          0.000030        -0.000       -0.000       4.299
9            26               3               0.000770          0.000030        -0.000       -0.000       3.761
9            26               4               0.000770          0.000030        -0.000       -0.000       3.428
9            26               5               0.000770          0.000030        -0.000       -0.000       4.275
9            26               6               0.000770          0.000030        -0.000       -0.000       4.929
9            26               7               0.000770          0.000030        -0.000       -0.000       5.145
9            26               8               0.000770          0.000030        -0.000       -0.000       3.422
9            26               9               0.000770          0.000030        -0.000       -0.000       4.343
9            26               10               0.000770          0.000030        -0.000       -0.000       3.426
9            26               11               0.000770          0.000030        -0.000       -0.000       4.975
9            26               12               0.000770          0.000030        -0.000       -0.000       3.573
9            26               13               0.000770          0.000030        -0.000       -0.000       4.828
9            26               14               0.000770          0.000030        -0.000       -0.000       5.586
9            26               15               0.000770          0.000030        -0.000       -0.000       4.855
9            26               16               0.000770          0.000030        -0.000       -0.000       3.849
9            26               17               0.000770          0.000030        -0.000       -0.000       6.100
9            26               18               0.000770          0.000030        -0.000       -0.000       3.589
9            26               19               0.000770          0.000030        -0.000       -0.000       5.397
9            26               20               0.000770          0.000030        -0.000       -0.000       4.845
9            26               21               0.000770          0.000030        -0.000       -0.000       5.911
9            26               22               0.000770          0.000030        -0.000       -0.000       4.378
9            26               23               0.000770          0.000030        -0.000       -0.000       5.852
9            26               24               0.000770          0.000030        -0.000       -0.000       5.647
9            26               25               0.000770          0.000030        -10000.000       -10000.000       -10000.000
10            22               0               0.000588          0.000027        0.000       0.000       5.371
10            22               1               0.000588          0.000027        0.000       0.000       4.048
10            22               2               0.000588          0.000027        0.000       0.000       5.266
10            22               3               0.000588          0.000027        0.000       0.000       5.089
10            22               4               0.000588          0.000027        0.000       0.000       3.925
10            22               5               0.000588          0.000027        0.000       0.000       4.654
10            22               6               0.000588          0.000027        0.000       0.000       5.133
10            22               7               0.000588          0.000027        0.000       0.000       4.696
10            22               8               0.000588          0.000027        0.000       0.000       4.935
10            22               9               0.000588          0.000027        0.000       0.000       3.843
10            22               10               0.000588          0.000027        0.000       0.000       5.213
10            22               11               0.000588          0.000027        0.000       0.000       4.700
10            22               12               0.000588          0.000027        0.000       0.000       6.032
10            22               13               0.000588          0.000027        0.000       0.000       5.246
10            22               14               0.000588          0.000027        0.000       0.000       3.605
10            22               15               0.000588          0.000027        0.000       0.000       4.071
10            22               16               0.000588          0.000027        0.000       0.000       3.482
10            22               17               0.000588          0.000027        0.000       0.000       4.676
10            22               18               0.000588          0.000027        0.000       0.000       4.663
10            22               19               0.000588          0.000027        0.000       0.000       4.962
10            22               20               0.000588          0.000027        0.000       0.000       6.009
10            22               21               0.000588          0.000027        0.000       0.000       6.180
11            42               0               0.001263          0.000030        -0.000       -0.000       3.857
11            42               1               0.001263          0.000030        -0.000       0.000       6.191
11            42               2               0.001263          0.000030        -0.000       -0.000       4.520
11            42               3               0.001263          0.000030        -0.000       -0.000       5.322
11            42               4               0.001263          0.000030        -0.000       -0.000       3.412
11            42               5               0.001263          0.000030        -0.000       -0.000       4.292
11            42               6               0.001263          0.000030        -0.000       -0.000       3.805
11            42               7               0.001263          0.000030        -0.000       -0.000       5.281
11            42               8               0.001263          0.000030        -0.000       -0.000       5.557
11            42               9               0.001263          0.000030        -0.000       0.000       6.302
11            42               10               0.001263          0.000030        -0.000       -0.000       5.692
11            42               11               0.001263          0.000030        -0.000       -0.000       5.276
11            42               12               0.001263          0.000030        -0.000       -0.000       3.746
11            42               13               0.001263          0.000030        -0.000       -0.000       3.851
11            42               14               0.001263          0.000030        -0.000       -0.000       4.981
11            42               15               0.001263          0.000030        -0.000       0.000       5.980
11            42               16               0.001263          0.000030        -0.000       0.000       6.351
11            42               17               0.001263          0.000030        -0.000       -0.000       4.741
11            42               18               0.001263          0.000030        -0.000       -0.000       5.554
11            42               19               0.001263          0.000030        -0.000       0.000       5.884
11            42               20               0.001263          0.000030        -0.000       0.000       6.121
11            42               21               0.001263          0.000030        -0.000       -0.000       4.078
11            42               22               0.001263          0.000030        -0.000       -0.000       4.023
11            42               23               0.001263          0.000030        -0.000       0.000       5.982
11            42               24               0.001263          0.000030        -0.000       -0.000       4.009
11            42               25               0.001263          0.000030        -0.000       0.000       6.187
11            42               26               0.001263          0.000030        -0.000       -0.000       4.634
11            42               27               0.001263          0.000030        -0.000       -0.000       5.504
11            42               28               0.001263          0.000030        -0.000       -0.000       3.840
11            42               29               0.001263          0.000030        -0.000       -0.000       3.488
11            42               30               0.001263          0.000030        -0.000       -0.000       4.077
11            42               31               0.001263          0.000030        -0.000       -0.000       3.443
11            42               32               0.001263          0.000030        -0.000       -0.000       4.800
11            42               33               0.001263          0.000030        -0.000       -0.000       5.502
11            42               34               0.001263          0.000030        -0.000       -0.000       5.249
11            42               35               0.001263          0.000030        -0.000       0.000       5.765
11            42               36               0.001263          0.000030        -0.000       -0.000       3.656
11            42               37               0.001263          0.000030        -0.000       0.000       6.358
11            42               38               0.001263          0.000030        -0.000       0.000       6.151
11            42               39               0.001263          0.000030        -0.000       -0.000       3.924
11            42               40               0.001263          0.000030        -0.000       -0.000       5.728
11            42               41               0.001263          0.000030        -0.000       -0.000       3.818
12            20               0               0.000472          0.000024        -0.000       0.000       4.877
12            20               1               0.000472          0.000024        -0.000       0.000       4.957
12            20               2               0.000472          0.000024        -0.000       0.000       4.704
12            20               3               0.000472          0.000024        -0.000       0.000       6.316
12            20               4               0.000472          0.000024        -0.000       0.000       5.523
12            20               5               0.000472          0.000024        -0.000       0.000       4.948
12            20               6               0.000472          0.000024        -0.000       0.000       5.616
12            20               7               0.000472          0.000024        -0.000       0.000       4.998
12            20               8               0.000472          0.000024        0.000       -0.000       3.375
12            20               9               0.000472          0.000024        -0.000       0.000       3.744
12            20               10               0.000472          0.000024        -0.000       0.000       4.992
12            20               11               0.000472          0.000024        -0.000       0.000       4.344
12            20               12               0.000472          0.000024        -0.000       0.000       4.438
12            20               13               0.000472          0.000024        -0.000       0.000       4.947
12            20               14               0.000472          0.000024        0.000       0.000       3.494
12            20               15               0.000472          0.000024        0.000       0.000       3.527
12            20               16               0.000472          0.000024        -0.000       0.000       4.782
12            20               17               0.000472          0.000024        -0.000       0.000       3.976
12            20               18               0.000472          0.000024        -0.000       0.000       5.905
12            20               19               0.000472          0.000024        -10000.000       -10000.000       -10000.000
13            32               0               0.000973          0.000030        0.000       -0.000       5.207
13            32               1               0.000973          0.000030        0.000       0.000       3.481
13            32               2               0.000973          0.000030        0.000       -0.000       5.895
13            32               3               0.000973          0.000030        0.000       0.000       3.590
13            32               4               0.000973          0.000030        0.000       -0.000       5.100
13            32               5               0.000973          0.000030        0.000       -0.000       4.873
13            32               6               0.000973          0.000030        0.000       0.000       3.398
13            32               7               0.000973          0.000030        0.000       -0.000       6.033
13            32               8               0.000973          0.000030        0.000       -0.000       4.201
13            32               9               0.000973          0.000030        0.000       -0.000       5.495
13            32               10               0.000973          0.000030        0.000       -0.000       4.059
13            32               11               0.000973          0.000030        0.000       -0.000       3.882
13            32               12               0.000973          0.000030        0.000       -0.000       3.902
13            32               13               0.000973          0.000030        0.000       -0.000       5.602
13            32               14               0.000973          0.000030        0.000       0.000       3.441
13            32               15               0.000973          0.000030        0.000       0.000       3.569
13            32               16               0.000973          0.000030        0.000       -0.000       4.646
13            32               17               0.000973          0.000030        0.000       -0.000       6.005
13            32               18               0.000973          0.000030        0.000       -0.000       6.300
13            32               19               0.000973          0.000030        0.000       -0.000       5.566
13            32               20               0.000973          0.000030        0.000       -0.000       3.996
13            32               21               0.000973          0.000030        0.000       -0.000       5.403
13            32               22               0.000973          0.000030        0.000       -0.000       5.000
13            32               23               0.000973          0.000030        0.000       -0.000       5.859
13            32               24               0.000973          0.000030        0.000       -0.000       3.980
13            32               25               0.000973          0.000030        0.000       0.000       3.428
13            32               26               0.000973          0.000030        0.000       -0.000       4.243
13            32               27               0.000973          0.000030        0.000       -0.000       5.405
13            32               28               0.000973          0.000030        0.000       -0.000       4.953
13            32               29               0.000973          0.000030        0.000       -0.000       5.377
13            32               30               0.000973          0.000030        0.000       -0.000       5.213
13            32               31               0.000973          0.000030        0.000       -0.000       5.611
14            36               0               0.000983          0.000027        0.000       0.000       5.173
14            36               1               0.000983          0.000027        0.000       0.000       5.046
14            36               2               0.000983          0.000027        0.000       0.000       4.242
14            36               3               0.000983          0.000027        0.000       0.000       4.983
14            36               4               0.000983          0.000027        0.000       0.000       4.497
14            36               5               0.000983          0.000027        0.000       0.000       5.615
14            36               6               0.000983          0.000027        0.000       0.000       5.862
14            36               7               0.000983          0.000027        0.000       0.000       3.697
